job_title,location,company,salary
Sr Data Engineer (Data Pipeline & Analytics),"New York, NY•Remote",Full Potential Solutions,130000.0
Lead Data Engineer,"New York, NY•Temporarily Remote",Ztek Consulting Inc.,150000.0
Data Engineer/Architect - Remote,"New York, NY•Remote",C&G Consulting Services,150000.0
Software Engineer - Data Engineering / Python / REST API,"New York, NY","Stefanini, Inc",140000.0
Data QC Engineer,"New York, NY•Remote work available",605,100000.0
Senior Systems Engineer | Data Center Operations,"Jersey City, NJ 07097 (The Heights area)•Remote",Synergy Sports,132500.0
Data Scientist - Nationwide Opportunities,"Chicago, IL+1 location","Amazon Web Services, Inc.",114700.0
Data Scientist - Operations Research (CPLEX/Gurobi),"Chicago, IL+2 locations•Remote",Nordstrom Inc,112700.0
Product Analyst/Data Scientist,"Chicago, IL 60654 (River North area)",Salesforce,82400.0
Senior Data Scientist,"Chicago, IL 60615 (Hyde Park area)",Xylem,127600.0
Data Science Manager (Remote - Home Based Worker),"Northbrook, IL+9 locations•Remote",Allstate,125550.0
Health Care Data Scientist,"Chicago, IL 60606 (Loop area)","Vizient, Inc.",123500.0
Applied Scientist,"Chicago, IL 60654 (River North area)",Salesforce,82400.0
Data Analyst 2 – Strategic Analytics,"Chicago, IL",Nordstrom,112700.0
Statistician / Researcher - Statistics & Methods,"Chicago, IL",Mathematica Policy Research,120000.0
"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Chicago, IL",Nordstrom Inc,155700.0
"Data Analytics Engineer /BI Engineer, Senior, US (Azure) 1","Chicago, IL 60607 (Near West Side area)",EY,82500.0
Junior Sales Engineer--AI Cybersecurity--Chicago OR Remote,"Chicago, IL 60603 (Loop area)",Bundoran Group LLC,50000.0
"Senior Statistical Programmer, SAS","Chicago, IL 60606 (Loop area)","Vizient, Inc.",93400.0
Senior Manager Data Analytics - Marketing and Web,"Northbrook, IL•Remote",Allstate,155000.0
"Senior Statistical Programmer, Python","Chicago, IL 60606 (Loop area)","Vizient, Inc.",93400.0
Lead Data Scientist Consultant (Remote - Homebased Worker),"Northbrook, IL•Remote",Allstate,130900.0
Data Science and Analytics Lab Engineer (open to remote),"Chicago, IL 60290•Remote",American Family Insurance,162500.0
Channel Sales Engineer--AI Cyber-Security Solution,"Chicago, IL 60602 (Loop area)",Bundoran Group LLC,120000.0
newSenior Data Scientist - Consumer Decision Science,"Chicago, IL",Glassdoor,153100.0
"Data Scientist, Decision Science (Marketing and Go To Market...","Chicago, IL",Glassdoor,134100.0
"Senior Associate, Data Scientist","Chicago, IL•Temporarily Remote","Data Science Works, Inc",105000.0
"Research Data Analyst, Senior","Chicago, IL 60611 (Streeterville area)",Center for Community Health - Northwestern...,77500.0
newMachine Learning Scientist,"Chicago, IL+1 location",Glassdoor,145450.0
CQRI Senior Data Analyst,"Chicago, IL 60604 (The Loop area)",One Hope United,60000.0
newMachine Learning Engineer,"Chicago, IL•Remote",Eversight,155000.0
Master Data Manager,"Chicago, IL 60661 (Near West Side area)•Temporarily Remote",Barrow Wise Consulting,117500.0
"Data Analyst, Special Projects","Chicago, IL 60684 (Near West Side area)•Remote work available",AECOM,73462.0
Logistics Data Analyst,"Chicago, IL 60612 (West Town area)",SOURCE ALLIANCE NETWORK LLC,52500.0
Data Analyst 2- Enterprise Inventory Services,"Chicago, IL+1 location",Nordstrom Inc,112700.0
Data Analyst,"Chicago, IL 60601 (Loop area)",Aon,97850.0
Data Management Analyst,"Chicago, IL 60606 (Loop area)",Koch Business Solutions,95000.0
ASSOCIATE CLASSIFICATION & COMPENSATION ANALYST,"Chicago, IL",City of Chicago,61176.0
Business Analyst/Associate Technology Consultant,"Chicago, IL•Temporarily Remote",Metaformers,70000.0
MuleSoft Data Operations Analyst,"Chicago, IL 60654 (River North area)+1 location",Salesforce,64000.0
newBusiness Analysis Associate,"Chicago, IL•Remote",Mathematica Policy Research,57500.0
Business Analyst,"Chicago, IL 60606 (Loop area)","Vizient, Inc.",81500.0
Avail - Business Intelligence (BI) Manager (Remote - Home Ba...,"Northbrook, IL•Remote",Allstate,125550.0
"newSenior Business Analyst, Digital HR Services (Open to Remote...","Lisle, IL 60532•Remote",Molex,102500.0
Senior Analyst,"Chicago, IL 60606 (Loop area)","Vizient, Inc.",81500.0
Senior Business Analyst,"Skokie, IL 60077","Vizient, Inc.",107350.0
Sr. Manager - Business Intelligence,"Chicago, IL",Charles Schwab,161500.0
Business Intelligence Data Analytics Consultant II,"Northbrook, IL•Remote",Allstate,68000.0
Senior Business Analyst/ Software Developer,"Des Plaines, IL 60016",Oakton Community College,63403.0
newEntry Level Business Analyst,"Chicago, IL",AMGTech Solutions,70000.0
Network Development Data Analyst,"Chicago, IL",Vytalize Health,85000.0
Junior Data Analyst– Entry Level,"Chicago, IL",PCS GLOBAL TECH,65000.0
Data Quality Analyst,"Chicago, IL 60604 (The Loop area)",U.S. Probation Office,59973.0
newEntry Level Business Analyst,"Chicago, IL",BACloudSystems,62500.0
Data Analyst - Public Health,"Chicago, IL",CDC Foundation ( Contract),69000.0
Call Center Data Reporting Analyst,"Oak Brook, IL 60523","IAA, Inc.",67500.0
newPricing Analyst,"Chicago, IL",ITF Group,75000.0
Technical Business Analyst,"Chicago, IL 60606 (The Loop area)",Aura Innovative Technology,90000.0
newBusiness Analyst,"Chicago, IL•Temporarily Remote",Wolf Careers,85000.0
Analyst Data Mgmt,"Des Plaines, IL",LSG SKy Chefs,46255.0
WMS & Power BI Analyst,"Chicago, IL 60661 (West Loop Gate area)",Newcold Advanced Cold Logistics,82500.0
newData Analyst,"South Holland, IL 60473",Ed Miniat LLC,70000.0
HR Analyst,"Chicago, IL 60605 (The Loop area)",HBR Consulting,57500.0
Sr JDE E1 Business Analyst,"Deerfield, IL 60015",jimshem,122500.0
newAzure Data Lake Analytics - Lead,"Rosemont, IL•Temporarily Remote",Purple Drive Technologies,136730.0
Business Analyst - Pharma/Healthcare,"Chicago, IL•Temporarily Remote",spar information systems,68659.0
Sr. Business Analyst,"Chicago, IL•Temporarily Remote",Brillio LLC,107500.0
Associate Business Analyst,"Addison, IL 60101",cpg.io eCommerce Distributors,65000.0
Business Analyst,"Chicago, IL 60607 (Near West Side area)",Campspot,80000.0
Office of Inspector General - Information Analyst,"Chicago, IL 60605 (Near South Side area)•Temporarily Remote",The Chicago Housing Authority,65000.0
newSalesforce Business Analyst,"Chicago, IL+1 location",Cloudsquare,90000.0
newSoftware Business Analyst,"Chicago, IL 60656 (O'Hare area)",Redmane Technology,90000.0
Salesforce Business Analyst,"Chicago, IL",DEG,105000.0
Salesforce Business Analyst (Remote),"Chicago, IL•Remote","Stefanini, Inc",115000.0
Senior Business Intelligence Consultant,"Chicago, IL",Infozone Intelligence,116288.5
newSr. Business Analyst,"Bolingbrook, IL 60440•Remote","Infinity Consulting Solutions, Inc.",102500.0
newSenior Business Analyst,"Mount Prospect, IL 60056",National Association of Boards of Pharmacy,102500.0
"Manager, Business Intelligence","Chicago, IL 60654 (Loop area)",Kroenke Sports Enterprises,90000.0
Board Certified Behavior Analyst (Interim Position- 4 months...,"Woodridge, IL 60517",Guiding Light Academy,65500.0
Data Engineer/ ETL Developer,"Chicago, IL 60604 (Loop area)",SDH Systems,81931.0
newData Engineer - Marketing Analytics (REMOTE),"Chicago, IL 60610 (Near North Side area)•Remote",Splunk,115000.0
"Senior Data Engineer, Customer Success","Chicago, IL 60654 (River North area)",Salesforce,75000.0
"Staff Software Engineer : Data Management Services, Core Inf...","Chicago, IL 60654 (River North area)",Salesforce,158000.0
CLOUD DATA ENGINEER,"Chicago, IL",InspiHER Tech,110000.0
newPrincipal Engineer - Software Defined Data Center,"Northbrook, IL•Remote",Allstate,150000.0
Data Engineer,"Chicago, IL+1 location",Glassdoor,125100.0
newJunior Data Engineer,"Des Plaines, IL 60018",Magnum Insurance Agency,55000.0
newData Engineer,"Chicago, IL+1 location",Advanced Tech Placement,120000.0
Data Engineer,"Lisle, IL 60532",Figg,122500.0
ETL Data Engineer / Developer,"Bolingbrook, IL 60440","Integrated Medical Systems, Inc.",85000.0
Lead Data Engineer,"Chicago, IL•Temporarily Remote",Ztek Consulting Inc.,150000.0
newLead Data Scientist,"Austin, TX 73301 (St Edwards area)",S&P Global,105900.0
Senior Data Scientist - Nationwide Opportunities,"Austin, TX","Amazon Web Services, Inc.",116200.0
Product Analyst/Data Scientist,"Austin, TX",Salesforce,82400.0
newStaff Data Scientist - REMOTE USA,"Austin, TX•Remote",Mandiant,140000.0
Sr. Data Scientist,"Austin, TX•Remote work available",Charles Schwab,161500.0
Senior Data Scientist,"Austin, TX 78745",Xylem,127600.0
Signal Processing and Data Analysis Software Engineering Sci...,"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,109000.0
Machine Learning Algorithm Design and Analysis Associate,"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,83000.0
Senior GNSS Data Analyst and Team Lead,"Austin, TX 78712 (University of Texas area)+1 location",University of Texas at Austin,109000.0
Machine Learning Algorithm Developer,"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,83000.0
"Senior Data Analyst, Internal Audit","Austin, TX•Remote work available",Charles Schwab,91300.0
Solution Architect - Big Data,"Austin, TX 73301 (St Edwards area)+1 location",IBM,163000.0
Sr. Statistical Analyst,"Austin, TX•Remote work available",Charles Schwab,133400.0
newMachine Learning Senior Engineer - Evernorth,"Austin, TX 78717",Cigna,153450.0
Principal Data Scientist - Match Recommendations,"Austin, TX•Temporarily Remote",Indeed,273500.0
Senior Data Scientist - Ranking Team,"Austin, TX",Indeed,151000.0
newSenior Data Scientist - Consumer Decision Science,"Austin, TX",Glassdoor,153100.0
Senior Data Scientist,"Austin, TX 78701 (Downtown area)",Valkyrie,112500.0
"Data Scientist, Decision Science (Marketing and Go To Market...","Austin, TX",Glassdoor,134100.0
newMachine Learning Scientist,"Austin, TX",Glassdoor,145450.0
Machine Learning Project Manager,"Austin, TX 78704 (South Lamar-South Congress area)",Liaison AI,47500.0
"Data Science, ML Engineer/Lead","Austin, TX•Temporarily Remote",spar information systems,101052.5
Machine Learning Engineer,"Austin, TX 78704 (South Lamar-South Congress area)",Liaison AI,47500.0
